country,ISO_code,region,year,pf_rol,pf_ss,pf_movement,pf_religion,pf_association,pf_expression,pf_identity,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,pf_score,pf_rank,ef_score,ef_rank,hf_score,hf_rank,hf_quartile
Malawi,MWI,Sub-Saharan Africa,2015,4.931439853,8.768905416,8.333333333,8.608333333,,7.8125,7.5,6.183082051,4.621099644,6.215068765,6.000480295,5.79185588,7.456857151,65,5.76,139,6.608428575,99,3
Malaysia,MYS,South Asia,2015,5.431853975,8.606313831,5,4.522592593,4,6.833333333,4.25,6.798132187,5.758780853,7.013203575,7.506636023,8.653177422,5.970134544,124,7.15,67,6.560067272,102,3
Mali,MLI,Sub-Saharan Africa,2015,4.015771616,5.14900995,8.333333333,8.105555556,7.5,7.869047619,5,4.939907278,3.626025957,6.990485785,6.817442842,6.714130436,5.971989042,123,5.82,132,5.895994521,132,4
Malta,MLT,Western Europe,2015,7.086753702,9.875277508,10,8.568518519,10,9.44047619,10,5.865147075,6.59150468,9.653675092,8.383011055,8.097234921,9.041407273,17,7.72,18,8.380703637,18,1
Mauritania,MRT,Sub-Saharan Africa,2015,3.912662345,5.818886343,8.333333333,6.216666667,5.5,6.039380178,0,5.165686275,3.280492271,7.736384048,5.951315043,6.368433212,5.04182519,150,5.7,143,5.370912595,147,4
Mauritius,MUS,Sub-Saharan Africa,2015,6.605074204,9.222126237,6.666666667,8.218518519,9,9.357142857,5,7.556536783,6.472556637,9.590111811,8.362271681,8.141666677,7.781032915,51,8.02,6,7.900516457,38,1
Mexico,MEX,Latin America & the Caribbean,2015,3.81446557,6.409523132,10,7.644444444,8.5,7.420710752,10,7.375364642,4.22249613,8.150228799,7.522561872,7.117423102,6.912512695,84,6.88,79,6.896256348,75,2
Moldova,MDA,Eastern Europe,2015,4.492649184,8.685224302,8.333333333,6.364814815,6,7.369047619,10,6.429533795,4.24776688,7.793712279,7.438294791,6.92590218,7.101187948,76,6.57,102,6.835593974,80,3
Mongolia,MNG,East Asia,2015,5.334011588,8.84253677,10,8.959259259,8.5,8.238095238,9.25,8.227589886,5.648352256,9.041661857,6.858224062,7.14367723,8.038872539,44,7.38,47,7.70943627,45,2
Montenegro,MNE,Eastern Europe,2015,5.284249098,9.208752137,10,7.919444444,,7.958333333,9,4.976470588,4.826882108,8.40109458,8.137325364,7.346544153,7.982972531,47,6.74,90,7.361486265,54,2
Morocco,MAR,Middle East & North Africa,2015,3.967915096,8.390437218,8.333333333,4.983333333,5,7.256572063,3.333333333,5.930140961,5.573495504,7.293196819,6.844371629,6.140230049,5.980245285,122,6.36,116,6.170122642,124,4
Mozambique,MOZ,Sub-Saharan Africa,2015,3.838184797,8.646255467,8.333333333,8.072222222,2.5,7.678571429,10,6.112901881,3.96561253,6.390738288,6.420200298,5.236491925,6.779522764,92,5.63,145,6.204761382,122,4
Myanmar,MMR,South Asia,2015,3.232420241,7.87671879,1.666666667,7.244444444,7,7.768457381,4.375,6.297058824,3.421483697,6.299205705,4.963862702,5.611587698,5.582741607,135,5.32,151,5.451370803,145,4
Namibia,NAM,Sub-Saharan Africa,2015,5.536170091,6.992669937,10,8.792592593,7,8.2,8,5.658979991,6.511178933,6.639547818,6.388636942,7.834528691,7.331469266,69,6.61,98,6.970734633,72,2
Nepal,NPL,South Asia,2015,4.165570868,9.261933531,8.333333333,5.977777778,5,6.630952381,10,8.129503699,4.499389677,6.402422694,6.758458572,6.701858574,6.951082449,82,6.5,107,6.725541224,86,3
Netherlands,NLD,Western Europe,2015,8.499683185,9.91813521,10,8.644444444,10,9.726190476,9.25,3.906668345,8.212318396,9.750208216,8.613167108,8.185986161,9.366518091,4,7.73,17,8.548259045,7,1
New Zealand,NZL,Oceania,2015,7.823437448,9.868614098,10,9.781481481,10,9.476190476,9.25,6.457208479,8.739500354,9.507911549,8.573080918,9.114961776,9.273780082,9,8.48,3,8.876890041,1,1
Nicaragua,NIC,Latin America & the Caribbean,2015,3.423302358,8.129039458,8.333333333,8.45,4,7.083333333,6.875,8.034558824,4.448091089,8.897685752,7.812122515,7.142372773,6.362252121,107,7.27,57,6.81612606,82,3
Niger,NER,Sub-Saharan Africa,2015,4.256511242,6.560966538,6.666666667,7.358148148,5.5,5.30952381,4.166666667,6.181132794,3.414027157,6.780420884,5.485204757,6.847945767,5.604469974,132,5.74,141,5.672234987,139,4
Nigeria,NGA,Sub-Saharan Africa,2015,4.215167659,4.364765343,6.666666667,7.668518519,9,8.19047619,3.333333333,7.14113814,3.609768459,7.939313483,5.927646393,7.308339742,5.630882721,129,6.39,113,6.010441361,130,4
Norway,NOR,Western Europe,2015,8.619200387,9.938459598,10,7.698148148,10,9.797619048,10,4.469397226,8.831207419,9.514230228,7.654512261,7.789072783,9.388991716,2,7.65,25,8.519495858,10,1
Oman,OMN,Middle East & North Africa,2015,5.975490781,8.356922801,6.666666667,5.585185185,2.5,5.345238095,0,4.533714916,6.006032048,8.342304379,7.649773007,6.663988226,5.59281239,134,6.64,95,6.116406195,127,4
Pakistan,PAK,South Asia,2015,3.498042861,5.940587215,5,4.505925926,9,7.194370257,3.75,7.860701774,3.304005361,6.382514873,5.770772621,6.278867455,5.304687137,144,5.92,130,5.612343569,141,4
Panama,PAN,Latin America & the Caribbean,2015,4.41777905,8.498456509,10,8.481481481,8.5,8.547619048,9.25,7.408817519,5.427962304,9.353353596,8.710061862,6.964047002,7.706968943,57,7.57,30,7.638484471,47,2
Papua New Guinea,PNG,Oceania,2015,3.795296642,7.9539205,10,7.950555556,,8.604166667,7.5,5.971504761,4.104531135,6.501551322,7.195671082,7.098834179,7.194144563,73,6.17,122,6.682072282,94,3
Paraguay,PRY,Latin America & the Caribbean,2015,4.114067906,7.828477744,8.333333333,8.416666667,7.5,8.392857143,7.5,8.126530629,3.866205998,9.223884939,7.308081242,6.034346137,6.999922127,80,6.91,78,6.954961063,73,2
Peru,PER,Latin America & the Caribbean,2015,4.575434814,8.315704183,10,8.390740741,9,8.607142857,9.375,7.244341522,4.80139976,9.564613148,8.225183656,7.533933704,7.760073109,53,7.47,38,7.615036554,48,2
Philippines,PHL,South Asia,2015,3.927142722,7.026530427,8.333333333,9.151851852,8,7.635921591,6.25,8.536762702,4.434837234,9.444142054,7.30806526,7.438627326,6.675528965,96,7.43,43,7.052764482,71,2
Poland,POL,Eastern Europe,2015,7.086418258,9.899996235,10,7.046296296,9,8.445354246,9.25,5.73835301,5.791093519,9.620805682,7.950735842,7.694513148,8.620768677,34,7.36,49,7.990384339,36,1
Portugal,PRT,Western Europe,2015,7.164114008,9.872022192,10,9.561111111,9.5,9.511904762,9.25,5.658476204,6.951471102,9.677047644,8.420527378,7.062911452,9.041335637,18,7.55,32,8.295667819,22,1
Qatar,QAT,Middle East & North Africa,2015,6.654300713,8.555199422,3.333333333,5.092222222,2.5,7,0,6.537882662,6.300014733,8.370681252,7.562793588,8.358464582,5.594930589,133,7.43,43,6.512465295,105,3
Romania,ROU,Eastern Europe,2015,6.323739189,9.804795795,10,8.568888889,10,9,9.25,6.873345158,5.947150201,9.398782021,8.477391452,7.795492442,8.714022635,30,7.7,21,8.207011317,26,1
Russia,RUS,Eastern Europe,2015,3.855632834,7.450704683,3.333333333,4.859259259,5,6.156752701,9.25,6.783059394,4.845383226,8.516531898,6.606642879,6.50964522,5.686518909,127,6.65,93,6.168259454,124,4
Rwanda,RWA,Sub-Saharan Africa,2015,5.346680192,8.775185331,6.666666667,6.116666667,2,6.261904762,9.166666667,5.786848388,7.32142152,9.386881728,6.983617599,8.336144074,6.551656857,99,7.56,31,7.055828428,70,2
Saudi Arabia,SAU,Middle East & North Africa,2015,5.640148906,7.365187885,0,3.8,2,5.730733591,0,5,5.290017302,8.33160233,5.970474742,6.585261292,4.404407557,154,6.24,121,5.322203778,149,4
Senegal,SEN,Sub-Saharan Africa,2015,4.850856594,7.835249843,6.666666667,9.374074074,10,8.166666667,2.5,6.82612367,4.237886203,7.064081518,6.599117322,6.026585317,6.84226735,89,6.15,123,6.496133675,107,3
Serbia,SRB,Eastern Europe,2015,4.54907282,9.398892715,10,9.011111111,8,8.678571429,9.25,6.426736383,4.892576109,7.845666799,7.568040625,7.056274537,7.980959638,48,6.76,89,7.370479819,53,2
Seychelles,SYC,Sub-Saharan Africa,2015,5.543331066,8.506539225,7.5,8.702777778,,7.666666667,10,6.734199911,5.520896302,9.326300808,7.668264711,7.39581686,7.746148128,55,7.33,54,7.538074064,50,2
Sierra Leone,SLE,Sub-Saharan Africa,2015,4.082720953,8.071545168,8.333333333,9.080555556,,7.354166667,8.333333333,7.397058824,3.965239946,7.068771331,5.821283552,4.657191333,7.176240141,74,5.78,134,6.478120071,109,3
Singapore,SGP,South Asia,2015,8.044036763,9.410721259,8.333333333,6.022222222,3.5,6.642857143,8,8.006925783,8.286821638,9.83885347,9.249622839,8.821298834,7.613530775,60,8.84,2,8.226765388,25,1
Slovakia,SVK,Eastern Europe,2015,6.009683266,9.725476674,10,8.116666667,10,9.345238095,9.25,5.09497764,5.638335051,9.735095078,8.30373137,7.438143247,8.604980461,35,7.24,61,7.922490231,37,1
